Rank,Symbol,Tier,Category,FinalScore,Rating,TechnicalScore,CatalystScore,RelativeStrengthScore,Close,MA20,MA50,MA200,RelativeVolume,Return3M,SPYReturn3M,RelativeStrength3M,EarningsDate,DaysUntilEarnings,EarningsWithin14Days,Volume,AsOf,Status,CrossedMA50,CrossedMA200,Made52WeekHigh
110,QUBT,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,21.4,Pass,16.6,0.0,73.6,9.77,10.89,9.93,11.83,0.53,34.76,12.02,22.73,,,False,12845300.0,2026-06-17,OK,False,False,False
111,WMT,Tier 1: Core Compounders,Consumer,21.4,Pass,40.0,0.0,27.0,118.13,119.31,125.3,116.37,0.8,-3.16,12.02,-15.18,,,False,21695000.0,2026-06-17,OK,False,False,False
112,ELF,Tier 2: Growth Leaders,Consumer Growth,21.3,Pass,45.2,0.0,16.2,62.28,56.06,59.76,86.75,0.82,-11.42,12.02,-23.44,,,False,4016900.0,2026-06-17,OK,False,False,False
113,CCJ,Tier 4: Small-Cap Speculative Growth,Energy & Materials,21.0,Pass,39.6,0.0,25.7,105.67,107.07,113.3,102.82,0.77,-3.41,12.02,-15.43,,,False,2536400.0,2026-06-17,OK,False,False,False
114,ORCL,Tier 1: Core Compounders,Technology,20.0,Pass,18.0,0.0,64.2,183.53,205.41,187.57,205.15,0.64,20.03,12.02,8.01,,,False,16546700.0,2026-06-17,OK,False,False,False
115,MP,User Added,Screenshot Import,18.0,Pass,23.6,0.0,42.6,60.84,61.87,62.34,62.21,1.08,5.74,12.02,-6.29,,,False,6918300.0,2026-06-17,OK,False,False,False
116,XLY,Tier 5: ETFs,ETFs,17.8,Pass,24.6,0.0,39.9,115.49,117.73,117.58,117.64,1.17,4.45,12.02,-7.57,,,False,9065700.0,2026-06-17,OK,False,False,False
117,NU,Tier 2: Growth Leaders,Fintech,17.5,Pass,33.2,0.0,20.9,12.89,12.45,13.52,15.4,1.46,-7.73,12.02,-19.75,,,False,97024600.0,2026-06-17,OK,False,False,False
118,IGV,Tier 5: ETFs,ETFs,17.4,Pass,22.6,0.0,41.9,89.16,95.39,89.76,98.05,1.01,5.71,12.02,-6.31,,,False,19562700.0,2026-06-17,OK,False,False,False
119,MA,Tier 1: Core Compounders,Financials,16.7,Pass,24.9,0.0,33.8,492.99,491.04,499.24,535.33,0.79,0.93,12.02,-11.1,,,False,2925800.0,2026-06-17,OK,False,False,False
120,JOBY,Tier 3: Space & Frontier Tech,Adjacent,15.4,Pass,24.0,0.0,29.1,9.39,10.46,9.83,12.51,1.12,-1.57,12.02,-13.6,,,False,36556000.0,2026-06-17,OK,False,False,False
121,CMG,Tier 1: Core Compounders,Consumer,15.1,Pass,23.6,0.0,28.4,31.86,31.21,32.69,35.87,0.69,-2.39,12.02,-14.41,,,False,14528100.0,2026-06-17,OK,False,False,False
122,S,Tier 2: Growth Leaders,Cybersecurity,14.9,Pass,18.4,0.0,37.8,14.8,16.51,15.52,15.54,0.68,2.92,12.02,-9.1,,,False,6644500.0,2026-06-17,OK,False,False,False
123,MSFT,Tier 1: Core Compounders,Technology,14.9,Pass,24.0,0.0,26.4,378.91,415.23,412.87,451.98,1.12,-3.29,12.02,-15.31,,,False,41835800.0,2026-06-17,OK,False,False,False
124,MCD,Tier 1: Core Compounders,Consumer,13.8,Pass,25.4,0.0,18.2,283.82,280.62,287.66,305.48,0.84,-10.11,12.02,-22.13,,,False,3589500.0,2026-06-17,OK,False,False,False
